,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,CL,83,1584427011,75,-53.15,-70.92,46.4,14.99
1,Ushuaia,AR,40,1584427011,70,-54.8,-68.3,44.6,16.11
2,Bredasdorp,ZA,64,1584427011,87,-34.53,20.04,66.0,4.7
3,Albany,US,90,1584426927,59,42.6,-73.97,37.4,14.99
4,Saint-Philippe,RE,75,1584427011,74,-21.36,55.77,86.0,10.29
5,Camacha,PT,75,1584427012,54,33.08,-16.33,59.0,17.22
6,Banjar,ID,20,1584427012,75,-8.19,114.97,89.6,13.87
7,Hilo,US,90,1584427012,78,19.73,-155.09,73.99,5.82
8,Hermanus,ZA,52,1584427012,77,-34.42,19.23,69.01,1.01
9,East London,ZA,20,1584427012,68,-33.02,27.91,68.0,16.11
10,Garliava,LT,50,1584427013,80,54.82,23.87,33.8,1.12
11,Acajutla,SV,0,1584426975,81,13.59,-89.83,73.0,1.99
12,Mandera,KE,83,1584427013,54,3.94,41.87,86.34,10.51
13,Assiut,EG,0,1584426785,87,27.18,31.18,59.0,13.87
14,Atlantic City,US,90,1584427014,81,39.36,-74.42,44.6,5.82
15,Bilma,NE,82,1584427014,7,18.69,12.92,68.34,9.91
16,Asău,RO,64,1584427014,74,46.43,26.4,44.01,4.7
17,Ürümqi,CN,100,1584427014,28,43.8,87.6,59.0,6.71
18,Rikitea,PF,61,1584427014,84,-23.12,-134.97,80.4,9.53
19,Pedasí,PA,49,1584427014,87,7.53,-80.03,74.64,15.59
20,Haines Junction,CA,0,1584427015,73,60.75,-137.51,13.8,3.22
21,Qaanaaq,GL,5,1584427015,67,77.48,-69.36,-14.1,10.4
22,Saint Paul Harbor,US,90,1584427015,93,57.79,-152.41,37.4,5.82
23,Ponta do Sol,PT,75,1584427015,54,32.67,-17.1,59.0,16.11
24,Kysyl-Syr,RU,100,1584427015,92,63.9,122.76,16.68,7.4
25,Guangyuan,CN,99,1584427016,20,32.44,105.82,72.0,1.01
26,Namatanai,PG,50,1584427016,70,-3.67,152.43,85.62,9.8
27,La Ronge,CA,40,1584427016,60,55.1,-105.28,5.0,4.7
28,Vaini,TO,75,1584427016,83,-21.2,-175.2,84.2,16.11
29,Bethel,US,90,1584426786,74,41.37,-73.41,41.0,3.36
30,Matamoros,MX,40,1584426782,48,25.53,-103.25,68.0,1.92
31,Tasiilaq,GL,100,1584427017,78,65.61,-37.64,12.2,5.82
32,Pisco,PE,97,1584427017,83,-13.7,-76.22,71.6,11.41
33,Srednekolymsk,RU,100,1584427017,92,67.45,153.68,2.28,8.59
34,Batemans Bay,AU,0,1584427018,63,-35.72,150.18,71.01,1.99
35,Cobija,BO,100,1584427018,99,-11.03,-68.77,72.12,2.91
36,Cape Town,ZA,32,1584426876,77,-33.93,18.42,69.01,1.12
37,Yellowknife,CA,20,1584427018,57,62.46,-114.35,-13.0,4.7
38,Mahébourg,MU,75,1584427018,78,-20.41,57.7,82.0,11.41
39,Cidreira,BR,78,1584427019,79,-30.18,-50.21,72.84,10.04
